Date,Gh_GDP
2008-01-01,18863.43405
2008-01-02,18863.43405
2008-01-03,18863.43405
2008-01-04,18863.43405
2008-01-05,18863.43405
2008-01-06,18863.43405
2008-01-07,18863.43405
2008-01-08,18863.43405
2008-01-09,18863.43405
2008-01-10,18863.43405
2008-01-11,18863.43405
2008-01-12,18863.43405
2008-01-13,18863.43405
2008-01-14,18863.43405
2008-01-15,18863.43405
2008-01-16,18863.43405
2008-01-17,18863.43405
2008-01-18,18863.43405
2008-01-19,18863.43405
2008-01-20,18863.43405
2008-01-21,18863.43405
2008-01-22,18863.43405
2008-01-23,18863.43405
2008-01-24,18863.43405
2008-01-25,18863.43405
2008-01-26,18863.43405
2008-01-27,18863.43405
2008-01-28,18863.43405
2008-01-29,18863.43405
2008-01-30,18863.43405
2008-01-31,18863.43405
2008-02-01,18863.43405
2008-02-02,18863.43405
2008-02-03,18863.43405
2008-02-04,18863.43405
2008-02-05,18863.43405
2008-02-06,18863.43405
2008-02-07,18863.43405
2008-02-08,18863.43405
2008-02-09,18863.43405
2008-02-10,18863.43405
2008-02-11,18863.43405
2008-02-12,18863.43405
2008-02-13,18863.43405
2008-02-14,18863.43405
2008-02-15,18863.43405
2008-02-16,18863.43405
2008-02-17,18863.43405
2008-02-18,18863.43405
2008-02-19,18863.43405
2008-02-20,18863.43405
2008-02-21,18863.43405
2008-02-22,18863.43405
2008-02-23,18863.43405
2008-02-24,18863.43405
2008-02-25,18863.43405
2008-02-26,18863.43405
2008-02-27,18863.43405
2008-02-28,18863.43405
2008-02-29,18863.43405
2008-03-01,18863.43405
2008-03-02,18863.43405
2008-03-03,18863.43405
2008-03-04,18863.43405
2008-03-05,18863.43405
2008-03-06,18863.43405
2008-03-07,18863.43405
2008-03-08,18863.43405
2008-03-09,18863.43405
2008-03-10,18863.43405
2008-03-11,18863.43405
2008-03-12,18863.43405
2008-03-13,18863.43405
2008-03-14,18863.43405
2008-03-15,18863.43405
2008-03-16,18863.43405
2008-03-17,18863.43405
2008-03-18,18863.43405
2008-03-19,18863.43405
2008-03-20,18863.43405
2008-03-21,18863.43405
2008-03-22,18863.43405
2008-03-23,18863.43405
2008-03-24,18863.43405
2008-03-25,18863.43405
2008-03-26,18863.43405
2008-03-27,18863.43405
2008-03-28,18863.43405
2008-03-29,18863.43405
2008-03-30,18863.43405
2008-03-31,18863.43405
2008-04-01,17762.60476
2008-04-02,17762.60476
2008-04-03,17762.60476
2008-04-04,17762.60476
2008-04-05,17762.60476
2008-04-06,17762.60476
2008-04-07,17762.60476
2008-04-08,17762.60476
2008-04-09,17762.60476
2008-04-10,17762.60476
2008-04-11,17762.60476
2008-04-12,17762.60476
2008-04-13,17762.60476
2008-04-14,17762.60476
2008-04-15,17762.60476
2008-04-16,17762.60476
2008-04-17,17762.60476
2008-04-18,17762.60476
2008-04-19,17762.60476
2008-04-20,17762.60476
2008-04-21,17762.60476
2008-04-22,17762.60476
2008-04-23,17762.60476
2008-04-24,17762.60476
2008-04-25,17762.60476
2008-04-26,17762.60476
2008-04-27,17762.60476
2008-04-28,17762.60476
2008-04-29,17762.60476
2008-04-30,17762.60476
2008-05-01,17762.60476
2008-05-02,17762.60476
2008-05-03,17762.60476
2008-05-04,17762.60476
2008-05-05,17762.60476
2008-05-06,17762.60476
2008-05-07,17762.60476
2008-05-08,17762.60476
2008-05-09,17762.60476
2008-05-10,17762.60476
2008-05-11,17762.60476
2008-05-12,17762.60476
2008-05-13,17762.60476
2008-05-14,17762.60476
2008-05-15,17762.60476
2008-05-16,17762.60476
2008-05-17,17762.60476
2008-05-18,17762.60476
2008-05-19,17762.60476
2008-05-20,17762.60476
2008-05-21,17762.60476
2008-05-22,17762.60476
2008-05-23,17762.60476
2008-05-24,17762.60476
2008-05-25,17762.60476
2008-05-26,17762.60476
2008-05-27,17762.60476
2008-05-28,17762.60476
2008-05-29,17762.60476
2008-05-30,17762.60476
2008-05-31,17762.60476
2008-06-01,17762.60476
2008-06-02,17762.60476
2008-06-03,17762.60476
2008-06-04,17762.60476
2008-06-05,17762.60476
2008-06-06,17762.60476
2008-06-07,17762.60476
2008-06-08,17762.60476
2008-06-09,17762.60476
2008-06-10,17762.60476
2008-06-11,17762.60476
2008-06-12,17762.60476
2008-06-13,17762.60476
2008-06-14,17762.60476
2008-06-15,17762.60476
2008-06-16,17762.60476
2008-06-17,17762.60476
2008-06-18,17762.60476
2008-06-19,17762.60476
2008-06-20,17762.60476
2008-06-21,17762.60476
2008-06-22,17762.60476
2008-06-23,17762.60476
2008-06-24,17762.60476
2008-06-25,17762.60476
2008-06-26,17762.60476
2008-06-27,17762.60476
2008-06-28,17762.60476
2008-06-29,17762.60476
2008-06-30,17762.60476
2008-07-01,22941.78996
2008-07-02,22941.78996
2008-07-03,22941.78996
2008-07-04,22941.78996
2008-07-05,22941.78996
2008-07-06,22941.78996
2008-07-07,22941.78996
2008-07-08,22941.78996
2008-07-09,22941.78996
2008-07-10,22941.78996
2008-07-11,22941.78996
2008-07-12,22941.78996
2008-07-13,22941.78996
2008-07-14,22941.78996
2008-07-15,22941.78996
2008-07-16,22941.78996
2008-07-17,22941.78996
2008-07-18,22941.78996
2008-07-19,22941.78996
2008-07-20,22941.78996
2008-07-21,22941.78996
2008-07-22,22941.78996
2008-07-23,22941.78996
2008-07-24,22941.78996
2008-07-25,22941.78996
2008-07-26,22941.78996
2008-07-27,22941.78996
2008-07-28,22941.78996
2008-07-29,22941.78996
2008-07-30,22941.78996
2008-07-31,22941.78996
2008-08-01,22941.78996
2008-08-02,22941.78996
2008-08-03,22941.78996
2008-08-04,22941.78996
2008-08-05,22941.78996
2008-08-06,22941.78996
2008-08-07,22941.78996
2008-08-08,22941.78996
2008-08-09,22941.78996
2008-08-10,22941.78996
2008-08-11,22941.78996
2008-08-12,22941.78996
2008-08-13,22941.78996
2008-08-14,22941.78996
2008-08-15,22941.78996
2008-08-16,22941.78996
2008-08-17,22941.78996
2008-08-18,22941.78996
2008-08-19,22941.78996
2008-08-20,22941.78996
2008-08-21,22941.78996
2008-08-22,22941.78996
2008-08-23,22941.78996
2008-08-24,22941.78996
2008-08-25,22941.78996
2008-08-26,22941.78996
2008-08-27,22941.78996
2008-08-28,22941.78996
2008-08-29,22941.78996
2008-08-30,22941.78996
2008-08-31,22941.78996
2008-09-01,22941.78996
2008-09-02,22941.78996
2008-09-03,22941.78996
2008-09-04,22941.78996
2008-09-05,22941.78996
2008-09-06,22941.78996
2008-09-07,22941.78996
2008-09-08,22941.78996
2008-09-09,22941.78996
2008-09-10,22941.78996
2008-09-11,22941.78996
2008-09-12,22941.78996
2008-09-13,22941.78996
2008-09-14,22941.78996
2008-09-15,22941.78996
2008-09-16,22941.78996
2008-09-17,22941.78996
2008-09-18,22941.78996
2008-09-19,22941.78996
2008-09-20,22941.78996
2008-09-21,22941.78996
2008-09-22,22941.78996
2008-09-23,22941.78996
2008-09-24,22941.78996
2008-09-25,22941.78996
2008-09-26,22941.78996
2008-09-27,22941.78996
2008-09-28,22941.78996
2008-09-29,22941.78996
2008-09-30,22941.78996
2008-10-01,23134.5484
2008-10-02,23134.5484
2008-10-03,23134.5484
2008-10-04,23134.5484
2008-10-05,23134.5484
2008-10-06,23134.5484
2008-10-07,23134.5484
2008-10-08,23134.5484
2008-10-09,23134.5484
2008-10-10,23134.5484
2008-10-11,23134.5484
2008-10-12,23134.5484
2008-10-13,23134.5484
2008-10-14,23134.5484
2008-10-15,23134.5484
2008-10-16,23134.5484
2008-10-17,23134.5484
2008-10-18,23134.5484
2008-10-19,23134.5484
2008-10-20,23134.5484
2008-10-21,23134.5484
2008-10-22,23134.5484
2008-10-23,23134.5484
2008-10-24,23134.5484
2008-10-25,23134.5484
2008-10-26,23134.5484
2008-10-27,23134.5484
2008-10-28,23134.5484
2008-10-29,23134.5484
2008-10-30,23134.5484
2008-10-31,23134.5484
2008-11-01,23134.5484
2008-11-02,23134.5484
2008-11-03,23134.5484
2008-11-04,23134.5484
2008-11-05,23134.5484
2008-11-06,23134.5484
2008-11-07,23134.5484
2008-11-08,23134.5484
2008-11-09,23134.5484
2008-11-10,23134.5484
2008-11-11,23134.5484
2008-11-12,23134.5484
2008-11-13,23134.5484
2008-11-14,23134.5484
2008-11-15,23134.5484
2008-11-16,23134.5484
2008-11-17,23134.5484
2008-11-18,23134.5484
2008-11-19,23134.5484
2008-11-20,23134.5484
2008-11-21,23134.5484
2008-11-22,23134.5484
2008-11-23,23134.5484
2008-11-24,23134.5484
2008-11-25,23134.5484
2008-11-26,23134.5484
2008-11-27,23134.5484
2008-11-28,23134.5484
2008-11-29,23134.5484
2008-11-30,23134.5484
2008-12-01,23134.5484
2008-12-02,23134.5484
2008-12-03,23134.5484
2008-12-04,23134.5484
2008-12-05,23134.5484
2008-12-06,23134.5484
2008-12-07,23134.5484
2008-12-08,23134.5484
2008-12-09,23134.5484
2008-12-10,23134.5484
2008-12-11,23134.5484
2008-12-12,23134.5484
2008-12-13,23134.5484
2008-12-14,23134.5484
2008-12-15,23134.5484
2008-12-16,23134.5484
2008-12-17,23134.5484
2008-12-18,23134.5484
2008-12-19,23134.5484
2008-12-20,23134.5484
2008-12-21,23134.5484
2008-12-22,23134.5484
2008-12-23,23134.5484
2008-12-24,23134.5484
2008-12-25,23134.5484
2008-12-26,23134.5484
2008-12-27,23134.5484
2008-12-28,23134.5484
2008-12-29,23134.5484
2008-12-30,23134.5484
2008-12-31,23134.5484
2009-01-01,19210.1031
2009-01-02,19210.1031
2009-01-03,19210.1031
2009-01-04,19210.1031
2009-01-05,19210.1031
2009-01-06,19210.1031
2009-01-07,19210.1031
2009-01-08,19210.1031
2009-01-09,19210.1031
2009-01-10,19210.1031
2009-01-11,19210.1031
2009-01-12,19210.1031
2009-01-13,19210.1031
2009-01-14,19210.1031
2009-01-15,19210.1031
2009-01-16,19210.1031
2009-01-17,19210.1031
2009-01-18,19210.1031
2009-01-19,19210.1031
2009-01-20,19210.1031
2009-01-21,19210.1031
2009-01-22,19210.1031
2009-01-23,19210.1031
2009-01-24,19210.1031
2009-01-25,19210.1031
2009-01-26,19210.1031
2009-01-27,19210.1031
2009-01-28,19210.1031
2009-01-29,19210.1031
2009-01-30,19210.1031
2009-01-31,19210.1031
2009-02-01,19210.1031
2009-02-02,19210.1031
2009-02-03,19210.1031
2009-02-04,19210.1031
2009-02-05,19210.1031
2009-02-06,19210.1031
2009-02-07,19210.1031
2009-02-08,19210.1031
2009-02-09,19210.1031
2009-02-10,19210.1031
2009-02-11,19210.1031
2009-02-12,19210.1031
2009-02-13,19210.1031
2009-02-14,19210.1031
2009-02-15,19210.1031
2009-02-16,19210.1031
2009-02-17,19210.1031
2009-02-18,19210.1031
2009-02-19,19210.1031
2009-02-20,19210.1031
2009-02-21,19210.1031
2009-02-22,19210.1031
2009-02-23,19210.1031
2009-02-24,19210.1031
2009-02-25,19210.1031
2009-02-26,19210.1031
2009-02-27,19210.1031
2009-02-28,19210.1031
2009-03-01,19210.1031
2009-03-02,19210.1031
2009-03-03,19210.1031
2009-03-04,19210.1031
2009-03-05,19210.1031
2009-03-06,19210.1031
2009-03-07,19210.1031
2009-03-08,19210.1031
2009-03-09,19210.1031
2009-03-10,19210.1031
2009-03-11,19210.1031
2009-03-12,19210.1031
2009-03-13,19210.1031
2009-03-14,19210.1031
2009-03-15,19210.1031
2009-03-16,19210.1031
2009-03-17,19210.1031
2009-03-18,19210.1031
2009-03-19,19210.1031
2009-03-20,19210.1031
2009-03-21,19210.1031
2009-03-22,19210.1031
2009-03-23,19210.1031
2009-03-24,19210.1031
2009-03-25,19210.1031
2009-03-26,19210.1031
2009-03-27,19210.1031
2009-03-28,19210.1031
2009-03-29,19210.1031
2009-03-30,19210.1031
2009-03-31,19210.1031
2009-04-01,18421.36106
2009-04-02,18421.36106
2009-04-03,18421.36106
2009-04-04,18421.36106
2009-04-05,18421.36106
2009-04-06,18421.36106
2009-04-07,18421.36106
2009-04-08,18421.36106
2009-04-09,18421.36106
2009-04-10,18421.36106
2009-04-11,18421.36106
2009-04-12,18421.36106
2009-04-13,18421.36106
2009-04-14,18421.36106
2009-04-15,18421.36106
