Date,Actual_Buying_Level,XGBoost_Predicted_Level,Random_Walk_Level
2020-06-05,5.6202,5.5595794,5.5339
2020-06-08,5.62,5.5597463,5.5339
2020-06-09,5.625,5.563124,5.5339
2020-06-10,5.625,5.563582,5.5339
2020-06-11,5.628,5.565176,5.5339
2020-06-12,5.6472,5.578575,5.5339
2020-06-15,5.6471,5.5806465,5.5339
2020-06-16,5.649100000000001,5.583581,5.5339
2020-06-17,5.6488,5.5836577,5.5339
2020-06-18,5.6483,5.5844,5.5339
2020-06-19,5.649300000000001,5.5848126,5.5339
2020-06-22,5.649100000000001,5.5849547,5.5339
2020-06-23,5.6501,5.5855985,5.5339
2020-06-24,5.6501,5.585852,5.5339
2020-06-25,5.6549,5.588303,5.5339
2020-06-26,5.6651,5.5951967,5.5339
2020-06-29,5.664600000000001,5.594454,5.5339
2020-06-30,5.664600000000001,5.595336,5.5339
2020-07-01,5.6644,5.59552,5.5339
2020-07-02,5.6654,5.5959167,5.5339
2020-07-03,5.6654,5.5963616,5.5339
2020-07-06,5.6652,5.596778,5.5339
2020-07-07,5.6651,5.5969553,5.5339
2020-07-08,5.6672,5.59732,5.5339
2020-07-09,5.6672,5.597243,5.5339
2020-07-10,5.6692,5.5986614,5.5339
2020-07-13,5.668999999999999,5.599203,5.5339
2020-07-14,5.6687,5.599616,5.5339
2020-07-15,5.6682,5.5994215,5.5339
2020-07-16,5.6682,5.5994167,5.5339
2020-07-17,5.6681,5.5994124,5.5339
2020-07-20,5.6686,5.5994954,5.5339
2020-07-21,5.6706,5.60017,5.5339
2020-07-22,5.6716,5.6007786,5.5339
2020-07-23,5.673600000000001,5.6025686,5.5339
2020-07-24,5.6751,5.603681,5.5339
2020-07-27,5.6751,5.604675,5.5339
2020-07-28,5.674999999999999,5.60546,5.5339
2020-07-29,5.6754999999999995,5.6057963,5.5339
2020-07-30,5.6754,5.6059957,5.5339
2020-08-03,5.6759,5.6062975,5.5339
2020-08-05,5.6759,5.606618,5.5339
2020-08-06,5.6759,5.6067476,5.5339
2020-08-07,5.676899999999999,5.6070895,5.5339
2020-08-10,5.6768,5.607257,5.5339
2020-08-11,5.6768,5.607392,5.5339
2020-08-12,5.6778,5.6076994,5.5339
2020-08-13,5.6778,5.6078663,5.5339
2020-08-14,5.6778,5.608001,5.5339
2020-08-17,5.6781,5.6083083,5.5339
2020-08-18,5.6793000000000005,5.608744,5.5339
2020-08-19,5.6793000000000005,5.608807,5.5339
2020-08-20,5.680299999999999,5.609435,5.5339
2020-08-21,5.680299999999999,5.6099133,5.5339
2020-08-24,5.6806,5.610247,5.5339
2020-08-25,5.6806,5.6106243,5.5339
2020-08-26,5.6801,5.610689,5.5339
2020-08-27,5.6801,5.6107545,5.5339
2020-08-28,5.682000000000001,5.611203,5.5339
2020-08-31,5.682000000000001,5.611186,5.5339
2020-09-01,5.683,5.6123533,5.5339
2020-09-02,5.683,5.613058,5.5339
2020-09-03,5.685,5.614146,5.5339
2020-09-04,5.6913,5.617601,5.5339
2020-09-07,5.6913,5.6186857,5.5339
2020-09-08,5.6911,5.619358,5.5339
2020-09-09,5.6911,5.619761,5.5339
2020-09-10,5.6941,5.620778,5.5339
2020-09-11,5.693900000000001,5.620907,5.5339
2020-09-14,5.697199999999999,5.623105,5.5339
2020-09-15,5.697199999999999,5.6238456,5.5339
2020-09-16,5.6967,5.6240306,5.5339
2020-09-17,5.6967,5.624098,5.5339
2020-09-18,5.697199999999999,5.624289,5.5339
2020-09-22,5.697199999999999,5.624485,5.5339
2020-09-23,5.6981,5.624936,5.5339
2020-09-24,5.6981,5.625249,5.5339
2020-09-25,5.6991,5.6255007,5.5339
2020-09-28,5.699,5.6256723,5.5339
2020-09-29,5.700000000000001,5.626007,5.5339
2020-09-30,5.699800000000001,5.6262617,5.5339
2020-10-01,5.699800000000001,5.626344,5.5339
2020-10-02,5.700000000000001,5.6266193,5.5339
2020-10-05,5.700000000000001,5.626715,5.5339
