Name of Series,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"Gross Domestic Product (GDP), production, real",18863.43405,17762.60476,22941.78996,23134.5484,19210.1031,18421.36106,23667.45696,25411.4104,21005.42351,19793.03826,26287.6272,26471.60003,23636.67963,23250.41615,29523.17203,30290.69954,29548.0714,26414.08419,29582.32307,31072.69272,29807.51305,30414.75421,30449.44601,33805.86551,29478.10366,31319.09412,32830.50736,34405.25229,32668.2724,32343.2066,31296.21327,34440.53602,32528.34287,31541.83574,34779.32705,36309.4693,35011.55335,35475.49535,37221.88136,38436.97595,38822.39469,36654.03103,39670.80386,40059.83611,41103.53498,39982.21921,41766.50121,42455.33658,43742.77255,37726.29787,40406.02113,44282.08502,45450.03572,39414.81818,42731.9618,46995.2,46936.7,41349.3,44155.5,48793.5,48419.4,42222.2,45003.2,51281.1,50620,44639.8,48159.1,53957.1
"Gross Domestic Product (GDP), production, nominal",10104.89685,9290.461975,13226.58088,13356.53098,11694.98317,12279.52857,14995.64126,16787.94786,16594.92305,14167.2851,19220.53803,20164.49361,20958.30965,20979.28805,23413.8347,25781.46115,24253.13711,25777.45378,29759.9383,34955.86554,29807.51305,30414.75421,30449.44601,33805.86551,33741.22814,37756.51759,43399.65672,43786.59211,43962.07896,45446.72712,44542.10757,49574.7264,53165.03216,52484.50275,53848.20032,60096.86021,62269.02774,63255.4623,68238.33366,69035.14235,77443.00328,71758.29445,78761.65446,80624.44354,88101.54444,85908.96003,90956.42594,91577.33521,100590.7257,88474.65118,96339.11382,106536.2425,114022.7787,102947.0396,114586.1349,130139,142789,131988.2,153922.5,185636.5,221608.4,195700.7,216208.8,254230.2,284402,258924.5,293071.4,332477.5
