Name of Series,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23
Food Inflation,11.69,10.73,10.66,10.55,11.43,10.67,11.84,10.77,8.73,7.62,7.08,7.53,8.06,9.49,8.38,9.13,10.18,9.91,10.18,10.03,9.29,8.81,9.5,10.51,10.64,11.23,12.95,13.15,15.84,17.74,17.45,17.56,17,15,15.84,16.73,19.42,18.95,18.5,19.32,17.17,15.54,15.17,14.75,12.78,13.53,12.38,11.84,9.08,8.17,7.35,5.81,4.69,6.13,5.84,5.33,5.67,5.62,5.32,4.5,4.84,4.59,4.7,4.18,3.93,2.78,3.25,3.79,3.74,4.03,4.41,4.27,4.54,4.33,4.45,4.78,5.02,5.4,5.45,4.43,4.36,4.14,3.94,3.93,2,0.84,-0.48,0.61,-1.6,-1.63,-0.65,0.24,0.03,1.61,1.73,1.49,7.1,7.52,8.21,6.96,8.01,7.93,5.02,5.18,5.79,6.52,6.64,6.76,6.9,7.02,7.16,7.18,7.33,7.4,7.6,7.62,7.82,7.81,7.92,8,8.17,8.31,8.32,8.36,8.49,8.56,8.64,8.48,8.97,8.66,9.3,9.69,7,7.16,7.25,6.67,6.32,6.18,7.22,7.35,8.1,8.2,7.87,7.98,6.82,6.12,5.74,5.62,5.07,4.84,4.98,5.95,7.23,7.48,5.98,5.14,4.75,4.96,5.57,5.57,6.94,6.93,6.76,8.1,8.36,7,8.35,7.19,7.75,7.94,8.42,14.44,15.05,13.82,13.68,11.4,11.16,12.59,11.71,14.07,12.83,12.27,10.78,6.45,5.44,7.3,9.45,10.86,11.47,11.03,13.06,12.76,13.67,17.36,22.43,26.64,30.08,30.67,32.25,34.36,37.8,43.7,55.3,59.7,61,59.1,50.8,48.7,51.79,54.23,55.01,51.86,49.34,44.77,32.21,28.68
Headline Inflation,12.76,12.27,11.28,11.21,11.75,11.39,12.91,12.56,11.67,10.87,10.7,10.92,10.89,10.42,10.19,10.5,11.02,10.69,10.14,10.41,10.19,10.14,11.4,12.75,12.81,13.21,13.79,15.29,16.88,18.41,18.31,18.1,17.89,17.3,17.44,18.13,19.86,20.34,20.53,20.56,20.06,20.74,20.5,19.65,18.37,18.04,16.92,15.97,14.78,14.23,13.32,11.66,10.68,9.52,9.46,9.44,9.38,9.38,9.08,8.58,9.08,9.16,9.13,9.02,8.9,8.59,8.39,8.41,8.4,8.56,8.55,8.58,8.73,8.64,8.78,9.11,9.34,9.44,9.54,9.46,9.43,9.24,9.31,8.84,7.42,6.8,6.01,5.97,4.67,4.8,5.35,5.41,6.34,9.82,10.1,10.44,13.8,14.03,14.52,14.69,14.84,14.99,15.32,15.89,16.47,16.94,17.05,16.99,16.44,16.5,16.64,16.76,16.91,17.08,17.94,17.32,17.36,17.38,17.58,17.69,18.99,18.47,19.22,18.71,18.89,18.37,16.72,16.86,17.21,15.77,15.52,15.36,13.35,13.24,12.78,13.04,12.58,12.1,11.86,12.34,12.17,11.64,11.74,11.82,10.35,9.91,8.96,7.96,7.78,7.48,7.18,7.63,7.72,7.01,6.31,5.8,5.88,6.09,6.53,6.46,7.02,7.5,7.49,7.7,7.56,7.71,8.16,7.9,7.82,7.79,7.82,10.62,11.3,11.2,11.41,10.55,10.39,10.14,9.76,10.43,9.9,10.29,10.33,8.52,7.52,7.81,8.99,9.68,10.58,11.04,12.25,12.62,13.93,15.74,19.39,23.63,27.65,29.82,31.75,33.91,37.2,40.4,50.3,54.1,53.6,52.8,45,41.2,42.2,42.5,43.09,40.07,38.08,35.21,26.41,23.19
